Year_Month,Date,Close,Log_Return,Company
2005-08,2005-08-01,309.7926330566406,0.050552231732237995,シーラホールディングス
2005-09,2005-09-01,307.6110534667969,-0.00706697649157145,シーラホールディングス
2005-10,2005-10-01,301.066162109375,-0.021506123266261657,シーラホールディングス
2005-11,2005-11-01,355.60711669921875,0.16649646838733778,シーラホールディングス
2005-12,2005-12-01,314.15594482421875,-0.1239370144631727,シーラホールディングス
2006-01,2006-01-01,338.1540222167969,0.07361197652994117,シーラホールディングス
2006-02,2006-02-01,349.0622253417969,0.03174872369670839,シーラホールディングス
2006-03,2006-03-01,329.427490234375,-0.05789393267877769,シーラホールディングス
2006-04,2006-04-01,366.5152893066406,0.1066839677888105,シーラホールディングス
2006-05,2006-05-01,386.1500244140625,0.05218572071167006,シーラホールディングス
2006-06,2006-06-01,311.974365234375,-0.213304936515963,シーラホールディングス
2006-07,2006-07-01,263.9782409667969,-0.1670543425543668,シーラホールディングス
2006-08,2006-08-01,233.43539428710938,-0.122961324339614,シーラホールディングス
2006-09,2006-09-01,255.2517852783203,0.08934509642505056,シーラホールディングス
2006-10,2006-10-01,255.2517852783203,0.0,シーラホールディングス
2006-11,2006-11-01,229.07203674316406,-0.10821392623664962,シーラホールディングス
2006-12,2006-12-01,217.2912139892578,-0.05279807120418147,シーラホールディングス
2007-01,2007-01-01,213.80059814453125,-0.016194657544252956,シーラホールディングス
2007-02,2007-02-01,220.34548950195312,0.0301529251104777,シーラホールディングス
2007-03,2007-03-01,222.52716064453125,0.00985244308875176,シーラホールディングス
2007-04,2007-04-01,235.6170196533203,0.057158524314567465,シーラホールディングス
2007-05,2007-05-01,229.07203674316406,-0.02817116376536254,シーラホールディングス
2007-06,2007-06-01,208.82029724121094,-0.0925624647244005,シーラホールディングス
2007-07,2007-07-01,208.82029724121094,0.0,シーラホールディングス
2007-08,2007-08-01,226.75157165527344,0.08238095990262088,シーラホールディングス
2007-09,2007-09-01,224.48182678222656,-0.010060266035637496,シーラホールディングス
2007-10,2007-10-01,208.82029724121094,-0.07232069386698328,シーラホールディングス
2007-11,2007-11-01,217.67242431640625,0.04151723164819327,シーラホールディングス
2007-12,2007-12-01,210.9340362548828,-0.031445831727383376,シーラホールディングス
2008-01,2008-01-01,205.13284301757812,-0.02788767622701067,シーラホールディングス
2008-02,2008-02-01,185.6405792236328,-0.09984534947477465,シーラホールディングス
2008-03,2008-03-01,171.71754455566406,-0.0779614903753175,シーラホールディングス
2008-04,2008-04-01,172.8777618408203,0.006733821661091641,シーラホールディングス
2008-05,2008-05-01,193.06619262695312,0.11044833128576322,シーラホールディングス
2008-06,2008-06-01,157.7945098876953,-0.201739480863869,シーラホールディングス
2008-07,2008-07-01,121.13044738769531,-0.26442557374762854,シーラホールディングス
2008-08,2008-08-01,116.02535247802734,-0.04305931940111077,シーラホールディングス
2008-09,2008-09-01,91.07990264892578,-0.2420715507289849,シーラホールディングス
2008-10,2008-10-01,96.06898498535156,0.053329354657897295,シーラホールディングス
2008-11,2008-11-01,97.22925567626953,0.012005123502968385,シーラホールディングス
2008-12,2008-12-01,88.41130828857422,-0.09507176722470893,シーラホールディングス
2009-01,2009-01-01,102.33439636230469,0.1462459634916408,シーラホールディングス
2009-02,2009-02-01,112.54460144042969,0.09510375355393816,シーラホールディングス
2009-03,2009-03-01,112.42860412597656,-0.0010312101340274858,シーラホールディングス
2009-04,2009-04-01,157.09835815429688,0.3345537040573807,シーラホールディングス
2009-05,2009-05-01,186.8008270263672,0.17317085887327205,シーラホールディングス
2009-06,2009-06-01,165.91627502441406,-0.11855965932320038,シーラホールディングス
2009-07,2009-07-01,185.6405792236328,0.11232914071489572,シーラホールディングス
2009-08,2009-08-01,199.33152770996094,0.07115697241761289,シーラホールディングス
2009-09,2009-09-01,199.56365966796875,0.0011638745793731255,シーラホールディングス
2009-10,2009-10-01,211.16610717773438,0.05651178006644702,シーラホールディングス
2009-11,2009-11-01,214.6469268798828,0.016349416103496273,シーラホールディングス
2009-12,2009-12-01,205.59693908691406,-0.04307683191895386,シーラホールディングス
2010-01,2010-01-01,219.28793334960938,0.06446798466377666,シーラホールディングス
2010-02,2010-02-01,230.19435119628906,0.04853832688414891,シーラホールディングス
2010-03,2010-03-01,240.17247009277344,0.04243333333241178,シーラホールディングス
2010-04,2010-04-01,291.2236633300781,0.19273428381574476,シーラホールディングス
2010-05,2010-05-01,328.5838317871094,0.12070042661003753,シーラホールディングス
2010-06,2010-06-01,274.7662048339844,-0.17887142923480545,シーラホールディングス
2010-07,2010-07-01,228.37081909179688,-0.18494986450749135,シーラホールディングス
2010-08,2010-08-01,216.35130310058594,-0.054067217558284426,シーラホールディングス
2010-09,2010-09-01,220.43798828125,0.018712933282941952,シーラホールディングス
2010-10,2010-10-01,217.07257080078125,-0.015384697763739021,シーラホールディングス
2010-11,2010-11-01,217.31288146972656,0.0011064398782469453,シーラホールディングス
2010-12,2010-12-01,230.42849731445312,0.058602442270255385,シーラホールディングス
2011-01,2011-01-01,254.2659149169922,0.09844002107950683,シーラホールディングス
2011-02,2011-02-01,295.48486328125,0.1502369829302544,シーラホールディングス
2011-03,2011-03-01,307.403564453125,0.0395438150820088,シーラホールディングス
2011-04,2011-04-01,265.93646240234375,-0.14490400942536877,シーラホールディングス
2011-05,2011-05-01,261.7151794433594,-0.016000606023672568,シーラホールディングス
2011-06,2011-06-01,238.84255981445312,-0.09145222175948889,シーラホールディングス
2011-07,2011-07-01,240.12240600585938,0.005344229030740815,シーラホールディングス
2011-08,2011-08-01,249.59425354003906,0.03868779520627201,シーラホールディングス
2011-09,2011-09-01,242.4264373779297,-0.02913830021565733,シーラホールディングス
2011-10,2011-10-01,248.0583038330078,0.02296550129659854,シーラホールディングス
2011-11,2011-11-01,197.11550903320312,-0.2298739174572992,シーラホールディングス
2011-12,2011-12-01,192.68992614746094,-0.0227076005112855,シーラホールディングス
2012-01,2012-01-01,206.8151397705078,0.07074305301008701,シーラホールディングス
2012-02,2012-02-01,225.73779296875,0.08754876793039218,シーラホールディングス
2012-03,2012-03-01,255.85391235351562,0.12523250911806583,シーラホールディングス
2012-04,2012-04-01,324.08160400390625,0.23638872156442864,シーラホールディングス
2012-05,2012-05-01,315.0199279785156,-0.02835944804100504,シーラホールディングス
2012-06,2012-06-01,246.3085479736328,-0.2460508901877061,シーラホールディングス
2012-07,2012-07-01,273.55389404296875,0.10491364556242976,シーラホールディングス
2012-08,2012-08-01,247.40936279296875,-0.10045435162352549,シーラホールディングス
2012-09,2012-09-01,255.11512756347656,0.030670619913147262,シーラホールディングス
2012-10,2012-10-01,268.0498046875,0.04945787771844547,シーラホールディングス
2012-11,2012-11-01,271.62744140625,0.013258625054986555,シーラホールディングス
2012-12,2012-12-01,263.03411865234375,-0.032147674206365225,シーラホールディングス
2013-01,2013-01-01,282.63385009765625,0.07186849155160063,シーラホールディングス
2013-02,2013-02-01,324.3898010253906,0.13779363821307242,シーラホールディングス
2013-03,2013-03-01,326.6622619628906,0.006980916873999942,シーラホールディングス
